呵	口可:kk
𣁉	文必:wb｜必文:bw
𣁢	文敝:wb｜敝文:bw
𣋹	日弊:ob
𣔓	木彼:mb
𣕾	林必:lb
𣘥	木閉:mb
𣚡	木棐:mf
𣝍	.:mp｜木寸:mc
𣢠	欠必:qb｜必欠:bq
𣥣	止皮:vp
𣦇	止复:vf
𣦢	.:vb
𣩩	.:db
𣮐	毛卑:mb
𣯴	毛畢:mb
𣴨	.:db｜氵目:do
𤂀	滿天:mt
𤅹	氵大:dd
𤐙	.:hb
𤗚	.:pf｜片田:pt
𤙞	牛坒:nb
𤜻	犭比:qb
𤝸	犭米:qm
𤠺	犭畢:qb
𤡝	.:qf
𤢣	.:qb
𤵘	疒必:bb
𤹝	疒畢:bb
𤹦	.:bb｜疒回:bh
𤻖	疒鼻:bb
𤽊	白比:bb
𥆯	目坒:ob
𥈗	目頁:oy
𥏠	矢卑:ub
𥛘	示畢:ub
𥟗	.:hb
𥢦	禾灬:hh
𥳆	竹敝:vb
𥴬	竹辟:vp
𦀘	糸坒:sb
𦂖	糸廾:sc
𦑞	.:yf｜羽田:yt
𦔆	.:lf｜耒田:lt
𦠞	敝月:bo｜月敝:ob
𦤫	自鼻:zb
𦭼	.:cb｜艹又:cy
𦯛	艹廾:cc
𦰙	.:bc｜艹廾:cc
𦱔	.:cp
𦳈	.:cb｜艹毗:cp
𦸣	艹庳:cb
𧏻	虫畢:ib
𧒀	虫敝:ib
𧓄	.:ib
𧓎	.:bk
𧝬	衣敝:yb｜敝衣:by
𧤃	角畀:jb
𧥑	或角:hj｜角或:jh
𧫤	言畢:yb
𧲜	.:bx｜辟象:px
𧳠	豸畀:vb
𧼱	走复:zf
𨅗	足筆:zb
𨋥	車弗:if
𨋩	車伏:if
𨐨	.:bj｜辟井:pj
𨚓	.:ef｜弗阝:fe
𨟵	酉比:yb
𨠔	酉必:yb
𨲋	镸卑:ib
𨳲	門卞:mb
𨵰	門下:mx
𨸼	阝必:eb
𨻀	.:ep
𨻼	.:ef｜阝土:et
𩉫	革比:gb
𩊰	革坒:gb
𩏂	韋卑:wb
𩑻	頁白:yb｜白頁:by
𩣚	馬否:mf
𩪖	骨畢:gb
𩪧	.:gb｜骨辟:gp
𩯃	髟費:if
𩲢	鬼皮:gp
𩾳	.:ng
𪋜	鹿畢:lb
𪌄	麥巳:ms
𪍪	麥畢:mb
𪏺	黍必:ub
𪐄	黍卑:ub
變	攵糸:ws｜言攵:yw
変	夊亦:wy｜亦夊:yw
編	糸扁:sb
辺	辶刀:zd
釆	丿米:pm｜丿丶:pd
邊	辶方:zf
籓	𥫗潘:vp
徧	彳扁:xb
貶	貝乏:bf
窆	穴乏:xf｜宀乏:bf
辯	言辛:yx｜辛辛:xx
閞	門弁:mb｜門廾:mc
邉	辶口:zk
艑	舟扁:vb
甂	瓦扁:wb
缏	纟便:sb
辮	糸辛:sx｜辛辛:xx
鶣	鳥扁:nb
鍽	金扁:jb
汳	氵反:df
覵	見閒:jx
臱	自方:zf
辧	刀辛:dx｜辛辛:xx
鞕	革更:gg
揙	扌扁:fb
炞	火卞:hb
獱	犭賓:qb
疺	疒乏:bf
鯾	魚便:yb
㝸	小儿:xe
㣐	彡泉:pq
㦚	心辛:xx
㭓	木弁:mb
㲢	毛扁:mb
㳎	氵弁:db
㴜	氵扁:db
㵷	氵辛:dx
㺹	王弁:wb
䁵	.:oq
䉸	竹辯:vb
䒪	艹弁:cb
䛒	言巧:yq
䡢	車扁:ib
䪻	頁弁:yb
峅	山弁:ub｜.:uc
惼	心扁:xb
牑	片扁:pb
猵	犭扁:qb
玣	王卞:wb
稨	禾扁:hb
箯	竹便:vb
籩	𥫗邊:vb
糄	米扁:mb
緶	糸便:sb
藊	艹扁:cb
覍	小見:xj
諚	言定:yd
辡	辛辛:xx
鯿	魚扁:yb
鴘	鳥弁:nb｜鳥廾:nc
𠐈	.:rm
𠑟	亻邊:rb
𠓫	入兵:rb
𠪂	厂扁:ib
𠭹	.:vx｜貞又:vy｜又又:yy
𠯴	口卞:kb
𠷖	.:kb｜口乏:kf
𡈯	.:ky
𡊅	土弁:tb｜弁土:bt
𡬯	丨寸:ac｜寸臼:cj
𡬲	.:ci
𡬸	.:ci
𢩟	夾扁:jb
𢬵	扌弃:fq
𢭥	.:uj｜手二:ue
𢴂	扌匾:fb
𢻶	.:wj｜今攴:jp｜攴今:pj
𣈠	.:og
𣝜	枲扁:xb
𣩀	歹扁:db
𣪭	殳目:uo｜丨殳:au
𣸇	氵便:db
𤀫	.:db｜氵辛:dx
𤀲	水辛:ux｜辛水:xu
𤄺	氵邊:db
𤺇	疒扁:bb
𤻶	疒編:bb
𥍚	目變:ob
𥣝	禾禾:hh
𥣰	.:hm｜禾方:hf
𥿋	糸弁:sb
𦇭	糸口:sk
𦉙	.:fj
𦟣	月夂:ow
𦽟	艹遍:cb
𧩰	言之:yv
𧸘	.:bj｜貝僉:bq
𨖠	辶扁:zb
𨖾	辶絲:zs
𨥧	金乏:jf
𨧕	金言:jy
𨩫	金便:jb
𩩯	骨扁:gb
𩰍	鬥卞:db
𪉱	.:lb｜卜扁:bb
𪏗	黄扁:hb
𪓍	.:vm｜黹攴:vp｜民黹:mv
𪖯	鼻扁:bb
飚	风焱:fy
灬	.:ho
標	木票:mp
嫑	不要:by
錶	金表:jb
髟	镸彡:ip
猋	犬犬:qq
磦	石票:up
飇	.:fb｜風犬:fq
僄	亻票:rp
驫	馬馬:mm
謤	言票:yp
飆	風猋:fb｜風犬:fq
爂	火冖:hb｜.:jh
滮	氵彪:db
褾	衤票:yp
颩	風彡:fp
臕	月麃:ob｜月灬:oh
淲	氵虎:dh
鏢	金票:jp
鑣	金麃:jb｜金灬:jh
蔈	艹票:cp
颷	風炎:fy
墂	土票:tp
㟽	山票:up
㠒	山剽:up
㧼	扌表:fb
㯱	十木:um｜木缶:mf
㯹	標寸:bc
䔸	.:cb
䞄	貝施:bu
䮽	.:mb
檦	木剽:mp
穮	禾麃:hb｜禾灬:hh
篻	竹票:vp
膔	月鹿:ol
諘	言表:yb
贆	貝猋:bb｜貝犬:bq
颮	風包:fb
飈	風焱:fy
飊	風焱:fy
麃	鹿灬:lh
𠔂	丨八:ab｜八丨:ba
𠚠	凵止:kv
𠬪	又爫:yv｜爫又:vy
𢅚	巾剽:jp
𢒯	.:pk
𢿏	.:wp｜票攴:pp
𣄠	.:fb｜方犬:fq
𤂆	浮虎:fh
𤆀	氵驫:db
𤐫	火一:ha｜𠂆灭:pm
𥘤	示少:uu
𥲦	𥫗丷:vb
𦔗	耒鹿:ll
𦔩	.:lb｜耒灬:lh
𦠎	.:ob｜月犬:oq
𦾑	艹剽:cp
𧝪	.:yj
𧥍	.:jb｜角灬:jh
𧳀	豸山:vu
𧴎	.:vs｜豸止:vv
𧴕	.:vr
𨭚	金剽:jp
𩪊	骨票:gp
𩴩	鬼焱:gy
𩽁	.:yb｜魚灬:yh
別	刂刀:dd｜刂另:dl
彆	弓敝:gb｜弓攵:gw
莂	艹别:cb
蟞	虫敝:ib｜虫攵:iw
鱉	魚敝:yb｜魚攵:yw
虌	艹蔽:cb｜艹黽:cm
癟	疒侖:bl
蛂	虫犮:ib
㢼	.:gb
㿜	疒龠:by
䉲	𥫗彌:vm
䋢	糸折:sv
䏟	月必:ob
䠥	足敝:zb
䭱	.:xb
徶	彳敝:xb
襒	衤敝:yb｜衤攵:yw
鼈	黽敝:mb｜.:mw
龞	.:gb｜.:gw
𠍯	亻敝:rb
𡐞	土敝:tb｜敝土:bt
𡘴	.:db｜大儿:de
𡙀	.:zb
𡙪	丶夬:dg
𡷘	山别:ub
𢆣	并夜:by
𢐳	弓爻:gy
𢛎	.:xb｜忄儿:xe
𢠳	忄敝:xb
𣇢	.:ob｜日儿:oe
𣊶	日敝:ob
𤉤	.:hb｜火儿:he
𤷗	.:bb｜疒儿:be
𤺓	疒敝:bb
𤾵	白弊:bb
𥞲	禾别:hb
𥡁	.:me
𧆊	艹鱉:cb
𧌽	.:ib
𧧸	言别:yb
𧿥	足比:zb
𨂅	足儿:ze
𨒜	辶必:zb
𩓝	.:yb｜丶頁:dy｜頁儿:ye
𩠻	香今:xj
𩡟	香氺:xu
𩦉	馬敝:mb｜敝馬:bm
𩵛	.:yw｜魚尢:yy
𩸁	.:yb｜魚儿:ye
𪂟	.:nb｜.:nu
𪐆	.:ub｜黍儿:ue
份	亻分:rf
频	页步:yb
賔	宀貝:bb
賓	宀貝:bb
濱	氵賓:db
頻	頁步:yb
霦	雨彬:yb
瀕	氵頻:dp
汃	氵八:db
虨	彡林:pl
濵	氵賓:db
殯	歹賓:db
繽	糸賓:sb
鬂	髟兵:ib
梹	木兵:mb
砏	石分:uf
鑌	金賓:jb
㻞	王扁:wb
䐔	月扁:ob
䚔	見賓:jb
儐	亻賓:rb
擯	扌賓:fb
椕	木分:mf｜木木:mm
檳	木賓:mb
瑸	王宾:wb
璸	王賓:wb
臏	月賓:ob
豩	豕豕:uu
顮	頁賓:yb
髕	骨賓:gb
髩	.:ig｜髟丏:im
鬢	髟賓:ib
𠴇	口兵:kb
𡦆	卑孕:by
𡦻	.:bj
𡧍	.:bg
𡧼	穴日:xo
𢲰	.:fi｜扌旬:fx
𣉮	日真:ov
𣢏	欠分:qf｜分欠:fq
𣰨	賓毛:bm｜毛賓:mb
𥃰	目亠:ow｜亠目:wo
𧷟	分賓:fb
𧸈	必賓:bb
𨐰	.:xx｜辛分:xf
𨽗	阝頻:ep
𩆱	雨林:yl
𩴱	鬼賓:gb｜賓鬼:bg
𪇕	鳥賓:nb｜賓鳥:bn
並	䒑业:qy
併	亻并:rb
竝	立立:ll
枋	木方:mf
仌	人人:rr
氷	.:du｜.:ud
餅	食并:ub
冫	丶一:da｜{冫}:dm
稟	亠禾:wh｜禾回:hh
幷	丶干:dg
昞	日丙:ob
屛	尸并:ub
掤	扌朋:fp
苪	艹丙:cb
抦	扌丙:fb
棅	木秉:mb
傡	亻立:rl
靐	雷雷:ll｜雨雷:yl
鈵	金丙:jb
倂	亻并:rb
餠	食并:ub
鉼	金并:jb
鞆	革丙:gb
寎	宀丙:bb
窉	穴丙:xb｜.:bb
陃	阝丙:eb
鋲	金兵:jb
㨀	扌秉:fb
䈂	𥫗并:vb
䋑	糸丙:sb
䓑	艹汧:cq
䗒	虫並:ib
䴵	麥并:mb
仒	人丶:rd
偋	亻屏:rp
垪	土并:tb
庰	广并:gb
怲	忄丙:xb
栤	木冰:mb
琕	王卑:wb
眪	目丙:ob
誁	言并:yb
鮩	魚并:yb
𠊧	亻並:rb
𠒝	光丙:gb
𠛥	.:db
𠱛	刀冏:dj
𡇤	丷固:bg
𡖛	夕冏:xj
𡚛	大土:dt
𡲍	尸幼:uy
𡹾	山昺:ub
𢆩	久并:jb
𢊜	广張:gv
𢎴	弓大:gd
𢔧	彳屏:xp
𣅍	.:ow
𣦪	.:vx｜止又:vy｜又止:yv
𣰜	.:mp｜毛几:mj
𥖬	.:up｜石几:uj
𥲂	𥫗洴:vp
𦡻	.:op｜月几:oj
𦼹	艹稟:cb
𦿅	.:cp｜艹几:cj
𨆱	足几:zj
𨋲	車冰:ib
𨹗	阝并:eb
𩊖	革并:gb
𩋒	革朋:gp
𩬝	髟丙:ib
𩮟	髟从:ic
𩶁	魚丙:yb
𪑰	黑屏:hp
般	舟殳:vu
佛	亻弗:rf
簿	𥫗寸:vc｜𥫗尃:vf
魄	白鬼:bg｜鬼白:gb
狛	犭白:qb
髆	骨寸:gc｜骨尃:gf
蔔	艹匐:cf｜艹田:ct
撥	扌發:ff
鉑	金白:jb
礡	石寸:uc｜石尃:uf｜石蒪:up
榑	木寸:mc｜木尃:mf
鎛	金寸:jc｜.:jf
癶	乛丶:ad｜{癶}:dg｜乛丶:vd
皪	白樂:bl｜白樂:by
壆	𦥑土:jt｜土冖:tb
擗	扌辟:fb｜扌辛:fx
缽	缶本:fb
鉢	金本:jb
愽	心寸:xc｜心尃:xf
猼	犭寸:qc｜犭尃:qf
煿	火寸:hc｜.:hf
駁	馬爻:my
襮	衤暴:yb
磻	石番:uf
馎	饣寸:uc｜饣尃:uf
桲	木孛:mb｜木子:mz
鈸	金犮:jb
駮	馬交:mj
鱍	魚發:yf
彴	彳勺:xu
殕	歹口:dk｜歹咅:dp
穛	禾焦:hj
葧	艹勃:cb
蚾	虫皮:ip
郣	耳孛:eb｜阝子:ez
餑	飠孛:ub｜飠子:uz
淿	氵帛:db｜氵巾:dj
溊	氵叚:dj
瓟	瓜包:gb
碆	石波:ub
胉	月白:ob
艊	舟帛:vb｜舟巾:vj
袹	衤百:yb
鋍	金孛:jb｜.:jz
鑮	金薄:jb
㖕	口辛:kx
㗘	.:kf
㝿	.:wp
㟑	山孛:ub
㩧	扌暴:fb
㩭	扌學:fx
㪍	.:wb
㬍	.:of
㬧	日糸:os
㱟	歹皮:dp
㴾	.:db
㶿	火孛:hb
㹀	牛孛:nb
䂍	矛暴:mb
䊿	糸夫:sf
䍨	.:yu
䍸	.:yf
䑈	月樂:ol
䒄	.:vf
䗚	.:if
䙏	.:yf
䞳	.:zp
䟛	足冂:zk
䢌	.:zu
䢪	辶喬:zq
䥬	.:jp
䪇	.:gp
䪬	音孛:yb
䫊	頁否:yf
䬪	食不:ub
䭦	食薄:ub
䭯	香出:xi
䮀	馬包:mb
䮂	.:mb
䯋	.:gb
䰊	.:if
䵗	.:uf
䶈	.:uf
仢	亻勺:ru
侼	亻孛:rb｜亻子:rz
僠	亻番:rf
噃	口番:kf
孹	.:zx
懪	忄暴:xb
挬	扌孛:fb｜.:fz
檘	.:mb｜.:mx
牔	片寸:pc｜.:pf
瓝	瓜勺:gu
癷	癶干:dg
盋	皿犮:mb
秡	.:hb
簙	竹博:vb
糪	米辟:mb｜米辛:mx
肑	月勺:ou
苩	艹白:cb
萡	艹泊:cb
蘗	艹檗:cb｜艹木:cm
袰	母衣:my｜衣母:ym
襏	衤發:yf
謈	日言:oy｜言共:yg
譒	言番:yf
蹳	足發:zf
餺	食寸:uc｜食尃:uf
馛	.:xb
驋	馬發:mf
髉	.:gv
鵓	鳥孛:nb｜鳥子:nz
𠧛	上尺:ui
𠮭	口勺:ku
𠱀	口皮:kp
𠴸	口波:kb｜波口:bk
𠷺	口勃:kb
𠸳	口陋:kl
𠺣	口剥:kb
𡀖	口鉢:kb
𡅂	口鵓:kb
𡋯	土孛:tb
𡯳	.:wp｜尤口:yk
𡯷	.:wp
𢂍	.:jz
𢐾	.:gg
𢠺	忄發:xf
𢣞	土丸:tw｜心丸:xw
𢩞	户爪:hv
𢫯	扌伏:ff
𢺽	.:xv｜支爻:vy｜爻支:yv
𣋵	日樂:ol
𣛓	木長:mi
𣧧	.:db｜歹丶:dd
𣭷	毛孛:mb｜孛毛:bm
𣽡	氵博:db
𤃵	.:db
𤒔	火縛:hf
𤕝	.:xw
𤗳	片發:pf
𤗺	.:pb｜片辟:pp
𤚽	.:nf
𤜧	犬巾:qj
𤶋	疒色:bs
𤾝	白麻:bm
𤿑	.:pw
𥜖	束示:uu｜示矣:uy
𥭖	竹勺:vu
𥮯	符大:fd
𥴮	竹搏:vb
𥸥	.:mg
𥹸	米孛:mb
𦃙	日糸:os｜糸共:sg
𦋉	罒服:sf
𦤚	.:ib｜自丶:zd｜臭丶:id
𦤣	孛臭:bi
𦯉	艹伯:cb
𦰬	艹帛:cb
𦲱	苻廾:fc
𦼭	艹榑:cf
𦽮	.:cp｜艹女:cn
𧇚	虎伯:hb
𧘟	.:yu｜衤冂:yk
𧙄	衤本:yb
𧟱	覀服:xf｜.:yf
𧲯	.:vb｜豸丶:vd
𧿲	足丿:zp
𨈩	.:ub｜身丶:ud
𨍭	.:if｜車寸:ic
𨏫	車薄:ib
𨨏	金波:jb
𨭂	金人:jr
𩃶	.:yb｜雲丶:yd
𩄿	.:yb｜雨攵:yw
𩈔	面可:mk
𩌏	.:gf｜革寸:gc
𩍿	革薄:gb
𩏯	.:wp
𩓐	孛頁:by
𩗀	風白:fb
𩗒	風交:fj
𩗓	風孛:fb
𩜥	波食:bu｜食波:ub
𩟕	飠壽:uu
𩣡	馬孛:mb
𩬸	.:in｜髟屮:ic
𩯌	髟發:if
𩱚	弓鬲:gg｜鬲孛:gb
𩷚	魚孛:yb
𩽛	魚薄:yb
𪌰	麥孛:mb
𪍡	.:mf
𪓜	黽皮:mp｜皮黽:pm
𪙍	.:if｜齒寸:ic
𪚷	皮龜:pg
佈	亻布:rb
補	衤甫:yf
歩	止少:vu
咘	口布:kb
篰	竹部:vb
餔	食甫:uf
钸	金布:jb
鈈	金不:jb
踄	足步:zb
鸔	鳥暴:nb
鈽	金布:jb
峬	山甫:uf
轐	.:id｜車夫:if｜.:ip
郶	立巴:lb｜立邑:ly｜.:py
餢	飠口:uk｜.:up
吥	口不:kb
捗	扌步:fb
歨	.:vv
箁	𥫗口:vk｜.:vp
錻	金武:jw
㘵	土布:tb
㙛	.:tf
㚴	女布:nb
㨐	扌保:fb
㳍	氵布:db
㻉	王步:wb
㾟	疒步:bb
䀯	目甫:of
䊇	米甫:mf
䋠	糸甫:sf
䍌	.:fp
䏽	.:op
䑰	舟步:vb
䒈	.:vp
䝵	貝甫:bf
䪁	.:gp
䪔	韋甫:wf
䬏	.:fp
䳝	.:np
䴝	.:lz
䴺	.:mp
勏	力口:lk｜.:lp
婄	女口:nk｜女咅:np
庯	广甫:gf
廍	广部:gb
悑	忄甫:xf
抪	扌布:fb
捬	扌府:ff
柨	木布:mb
荹	艹步:cb
誧	言甫:yf
鯆	魚甫:yf
鳪	鳥卜:nb
鵏	鳥甫:nf
𠘁	冫部:db
𠚉	凵禾:kh
𠜙	.:df
𡡐	.:np｜女夫:nf
𢁻	巾布:jb
𢇴	广布:gb
𢼹	.:wf｜攴甫:pf｜甫攴:fp
𣱶	氵卜:db
𤚵	牛口:nk
𤣰	王土:wt
𤸵	.:bf｜疒寸:bc
𥃨	目卜:ob
𥑢	石布:ub
𥣌	禾用:hy
𥪀	立甫:lf
𥳖	𥫗棓:vb
𥹴	米步:mb
𥻞	米客:mk
𧉩	虫布:ib
𧻷	走甫:zf
𨋞	車布:ib
𨛒	.:eb｜步阝:be
𨴪	門甫:mf
𩅇	雨部:yb
𩊬	革甫:gf
𩊶	革步:gb
𩏮	.:wt
𩏵	韋薄:wb
𩢕	馬本:mb
𩣝	馬步:mb
𩯏	.:ip｜髟夫:if
𩶉	魚布:yb
𩷖	魚步:yb
𩺼	魚逋:yb
𩻗	魚部:yb
𪇰	鳥暴:nb｜暴鳥:bn
拆	扌斥:fi
囃	.:kv｜口雜:kz
礤	石蔡:uc
䟃	走參:zc
䵽	鼓去:gq
攃	扌蔡:fc
礸	石贊:uz
遪	辶參:zc
𤄖	氵雜:dz
𥗭	石雜:uz
𥩝	立手:lu
𨆾	足察:zi
𨺭	阝从:ec
𪊗	鹿手:lu
纔	糹毚:si｜糸兔:st
採	扌采:fc
寀	宀采:bc
財	貝才:bc
綵	糸采:sc
埰	土采:tc
婇	女采:nc
棌	木采:mc
扐	扌力:fl
㒲	入日:ro
㥒	忄采:xc
䌨	糸蔡:sc
䌽	纟采:sc
䐆	月采:oc
䞗	走才:zc
䣋	.:ec
䰂	髟采:ic
䴭	麥才:mc
倸	亻采:rc
啋	口采:kc
揌	扌思:fs
毝	毛彡:mp
縩	糸祭:sj
跴	足西:zx
𡣮	女蔡:nc
𢎂	.:yb｜弋人:yr｜戈人:gr
𤁱	氵蔡:dc
𤚀	牛采:nc
𤝭	犭此:qc
𤟖	犭采:qc
𤷕	疒采:bc
𦬁	艹才:cc
𧀊	艹采:cc
𧵤	貝守:bu
𨙴	.:ec｜才阝:ce
𨯓	金蔡:jc
𩁞	隹蔡:vc
𩧇	馬蔡:mc
𪇭	鳥蔡:nc｜蔡鳥:cn
掺	扌参:fc
參	厶彡:sp
喰	口食:ku
殘	歹戔:dj
叄	厶三:ss
慘	忄參:xc
憯	忄日:xo｜忄朁:xq
慙	心斬:xv
摻	扌參:fc
澯	氵粲:dc｜.:dm
燦	火粲:hc｜火米:hm
蠶	虫日:io｜虫朁:iq
驂	馬參:mc
囋	口贊:kz
孱	尸孨:un｜尸子:uz
慚	忄斬:xv
朁	兓日:jo｜日乚:og｜日兓:oj｜.:wo｜.:ow
傪	亻參:rc
摲	扌斬:fv
飡	冫食:du
黲	黑參:hc
湌	氵食:du
爘	火餐:hc
鏒	金參:jc
㘔	口賽:ks
㛑	.:nc
㜗	女參:nc
㣓	彡粲:pc
㥇	心戔:xj
㦧	.:xt
㨻	手斬:uv
㱚	歹月:do
㺑	犭參:qc
㻮	王祭:wj
㽩	田參:tc
㿊	.:bc
䍼	.:yc
䏼	月戔:oj
䑶	舟青:vq
䗝	虫神:iu
䗞	.:tk
䘉	天蟲:ti｜.:tk
䙁	衤戔:yj
䛹	.:yh
䝳	.:bc
䣟	.:ec｜.:ej
䫮	頁尋:yx
䬫	食氐:ud
䱗	.:yc
䳻	鳥斬:nv
儏	亻粲:rc｜亻米:rm
叅	厶心:sx
嘇	口參:kc
嬠	女喿:nz
穇	禾參:hc
篸	𥫗參:vc
薒	艹粲:cc｜艹米:cm
蝅	虫天:it
蠺	虫日:io｜天虫:ti
謲	言參:yc
𠠋	.:bd｜.:cz
𠡡	.:lc
𠫭	.:st
𡆮	.:kt｜.:ku
𡛝	女歹:nd｜歹女:dn
𡡖	.:nc
𢦸	.:gl｜戈口:gk｜口戈:kg
𢧮	.:gj｜戈目:go｜目戈:og
𢾃	.:wt｜攴人:pr｜卜攴:bp
𣦼	歹又:dy
𣶡	氵歹:dd
𣻬	氵米:dm
𤅒	氵心:dx
𥂥	.:md
𥠩	禾心:hx
𥢽	禾粲:hc
𥹛	.:mj
𦪜	.:vc｜舟心:vx
𦪫	舟粲:vc
𦺐	艹殘:cc
𧅀	艹鏨:cz
𧓩	.:ic｜虫貝:ib
𨅔	足日:zo
𨞷	天阝:te
𨲱	.:ic｜镸心:ix
𩀧	隹斬:vv
𩈻	面斬:mv｜斬面:vm
𩈼	面參:mc
𩛳	食凡:uf｜木食:mu
𩝖	.:uy｜食刂:ud
𩞀	食參:uc
𩟒	.:ul｜食夂:uw
𩯞	髟粲:ic
𪆶	鳥粲:nc｜粲鳥:cn
臧	戈臣:gi｜臣戈:ig
倉	人口:rk
蒼	艹倉:cc
玱	王仓:wc
凔	冫倉:dc
鶬	鳥倉:nc
艙	舟倉:vc
滄	氵倉:dc
瑲	王倉:wc
嵢	山倉:uc
濸	氵蒼:dc
鑶	金藏:jc
㵴	氵臧:dz
㶓	氵藏:dc
䅮	禾倉:hc
䢢	辶倉:zc
仺	人一:ra
傖	亻倉:rc
匨	匚壯:kv
欌	木藏:mc
獊	犭倉:qc
篬	𥫗倉:vc
螥	虫倉:ic
賶	貝倉:bc
𠥐	匚倉:kc
𡽴	山臧:uz
𡾻	山臧:uz
𡿄	山藏:uc
𤚬	牛倉:nc
𦾝	蒼山:cu
𨤃	酉藏:yc
𩀞	隹倉:vc
𩕹	頁蒼:yc｜蒼頁:cy
𩝞	食倉:uc
艸	屮屮:cc
曺	.:ao｜.:oa
懆	忄喿:xz
慅	忄蚤:xz
慒	心曹:xc
愺	心草:xc
傮	亻曹:rc
鏪	金曹:jc
㜖	女曹:nc
㯥	東東:dd
㿷	皮差:pi
䄚	示曹:uc
䎭	耒造:lz
䏆	耳曹:ec
䐬	月曹:oc
䒑	{䒑}:qm｜丷一:ba
嶆	山曹:uc
撡	扌心:fx
蓸	艹曹:cc
褿	衤曹:yc
襙	衤喿:yz
鄵	.:ez
騲	馬草:mc
鼜	鼓蚤:gz
𠀊	.:yd
𠹊	口草:kc
𡮦	曹少:cu
𣈅	日林:ol｜林日:lo
𣉿	日曹:oc
𤒕	澡灬:zh
𤡐	犭曹:qc
𤵥	疒禾:bh
𥲍	𥫗曹:vc
𦋿	罒曹:sc
𨎝	車曹:ic
𩞄	食曹:uc
𩫥	高巢:gi｜巢高:ig
栅	木册:mc
冊	丨丨:aa
夨	.:ad｜.:vd
側	亻則:rz
測	氵則:dz
筴	竹夾:vj
廁	广則:gz
厠	厂則:iz
敇	.:wx
笧	𥫗册:vc
粣	米册:mc
萗	艹宗:cz
㥽	心責:xz
㨲	扌宋:fs
㩍	扌策:fc
䇲	𥫗夹:vj
䈟	竹則:vz
䊂	.:mc
䔴	.:cs
䜺	豆昔:dx
惻	心則:xz
憡	忄策:xc
拺	扌朿:fc
畟	田夂:tw
筞	𥫗宋:vs
箣	𥫗刺:vc
簎	竹措:vc
荝	艹则:cz
萴	艹則:cz
蓛	艹攵:cw
𡍫	土則:tz
𢷾	.:fq｜扌心:fx
𢿸	.:cw｜攴策:pc｜策攴:cp
𣌧	册日:co
𥠉	禾則:hz
𥬰	𥫗二:ve
𥰡	𥫗攵:vw
𥳯	𥫗棤:vc
𦔎	.:lc｜耒夂:lw
𦣧	臣二:ie
𦵪	艹攴:cp
𧵡	貝册:bc
𨶨	門側:mc
𩒄	頁册:yc｜册頁:cy
梣	木岑:mc｜.:mj
嵾	.:up
汵	氵今:dj
笒	竹今:vj
㞥	山入:ur
㻸	.:wc
䃡	.:uc
䅾	.:hc
䤁	酉甚:yu
䨙	雨壬:yr
䫈	頁岑:yc
䯔	骨宅:gv
䲋	魚替:yt
埁	土岑:tc
𣡎	木秦:mq
𦊃	罒今:sj
𨁊	足岑:zc
𨥣	金厶:js｜凵金:kj
𨱼	長死:is｜死長:si
𩅨	.:yc｜雨日:yo
𩅮	雨替:yt
𩻛	.:yc｜魚日:yo
層	尸曾:uc
曽	丷日:bo｜日田:ot
橧	木曾:mc
竲	立曾:lc
驓	馬曾:mc
㣒	彡曾:pc
㬝	日曾:oc
䁬	目曾:oc
䉕	𥫗曾:vc
𠟂	.:dc
𡃆	口層:kc
𡪠	宀曾:bc
𡾓	山層:uc
𢅋	巾曾:jc
𤛢	牛曾:nc
𦠇	月曾:oc
𧲅	豕曾:uc
査	木且:mq
苴	艹且:cq
楂	木查:mi
詫	言宅:yv
詧	言又:yy
挿	.:fi
扱	扌及:fj
扠	扌叉:fi
臿	臼千:jq｜.:ph｜.:pj｜千臼:qj
剎	刂杀:du
摖	扌祭:fj
鑔	金察:ji
仛	亻七:rq｜.:rt
嗏	口茶:ki
梌	木余:my
紁	糸叉:si
艖	舟差:vi
銟	金巾:jj
鍤	金臿:ji
鎈	金差:ji
㛳	女帝:nd
㛼	.:ni
㢉	.:gi
㢎	.:gi
㢒	.:gc
㣾	心叉:xi
㤞	忄宅:xv
㪯	文二:we
㫅	方亓:fq
䁟	目差:oi
䆛	.:xi
䊬	米稞:mk
䑘	臼差:ji
䒲	艹奼:ci
䓭	艹刹:cu
䕓	艹察:ci
䟕	足叉:zi
䡨	車差:ii
䤩	金宅:jv
䰈	髟差:ii
䲦	鳥大:nd
䶪	齒截:ij
偛	.:ri
奼	女七:nq｜女乇:nt
捈	扌余:fy
揷	扌臿:fi｜扌臼:fj
疀	疌田:jt｜疌甾:jz
秅	禾七:hq｜禾乇:ht
芆	艹叉:ci
訍	言叉:yi
靫	革叉:gi
餷	食查:ui
𠝞	.:di｜千刂:qd
𠞊	.:di
𠽹	口言:ky
𡋨	.:tv｜.:ty
𡌚	土坐:tz
𡝐	女余:ny
𡝙	女佘:nu
𡨀	宀余:by
𡵌	山叉:ui
𢔣	.:xi｜彳臼:xj
𢘹	心杀:xu
𢣼	忄察:xi
𢭅	扌火:fh
𣃍	斤算:js
𣆗	日合:oh
𣍏	更差:gi
𣘤	木祭:mj
𣘻	木荼:mt｜.:mu
𣱱	丿丿:pp
𤜫	犭叉:qi
𤜯	犭及:qj
𤞠	犭杀:qu
𤳅	甲甲:jj
𤳵	甲甲:jj
𤵾	疒宅:bv
